Order Number,PE_F1,Date_1,HR,T,PE_F2,Date,HR,T,GRAV_PM10_MON,GRAV_PM10_DP,end
9696887,4.6260,2022/12/28 17:42:56,32.4,21.8,4.6259,2022/12/28 19:29:29,32.1,20.7,4.626,0.230,
9696888,4.5033,2022/12/28 17:43:55,32.4,21.8,4.5040,2022/12/28 19:29:54,32.1,20.7,4.504,0.117,
9696889,4.6535,2022/12/28 17:48:14,32.4,21.8,4.6544,2022/12/28 19:30:08,32.1,20.7,4.654,0.277,
9696890,4.4803,2022/12/28 17:48:53,32.4,21.8,4.4809,2022/12/28 19:30:25,32.1,20.7,4.481,0.093,
9856323,4.4995,2022/12/28 17:49:26,32.4,21.8,4.5001,2022/12/28 19:30:43,32.1,20.7,4.500,0.087,
9856324,4.5228,2022/12/28 17:49:47,32.4,21.8,4.5232,2022/12/28 19:31:02,32.1,20.7,4.523,0.098,
9856673,4.6082,2022/12/28 17:50:31,32.4,21.8,4.6081,2022/12/28 19:31:21,32.1,20.7,4.608,0.073,
9856674,4.6203,2022/12/28 17:50:55,32.4,21.8,4.6213,2022/12/28 19:31:39,32.1,20.7,4.621,0.080,
9856632,4.4912,2022/12/28 17:51:15,32.4,21.8,4.4913,2022/12/28 19:31:54,32.1,20.7,4.491,0.045,
9856633,4.4771,2022/12/28 17:51:35,32.4,21.8,4.4776,2022/12/28 19:32:14,32.1,20.7,4.477,0.036,
9856634,4.5159,2022/12/28 17:52:04,32.4,21.8,4.5176,2022/12/28 19:32:33,32.1,20.7,4.517,0.049,
9856620,4.5279,2022/12/28 17:52:55,32.4,21.8,4.5286,2022/12/28 19:32:49,32.1,20.7,4.528,0.035,
9849707,4.5927,2022/12/28 17:53:17,32.4,21.8,4.5937,2022/12/28 19:33:35,32.1,20.7,4.593,0.061,
9849768,4.5776,2022/12/28 17:53:42,32.4,21.8,4.5781,2022/12/28 19:33:55,32.1,20.7,4.578,0.035,
9849769,4.6022,2022/12/28 17:54:10,32.4,21.8,4.6030,2022/12/28 19:34:10,32.1,20.7,4.603,0.042,
9849770,4.5609,2022/12/28 17:54:42,32.4,21.8,4.5614,2022/12/28 19:34:32,32.1,20.7,4.561,0.013,
9849771,4.5687,2022/12/28 17:55:10,32.4,21.8,4.5694,2022/12/28 19:34:50,32.1,20.7,4.569,0.023,
9849772,4.5829,2022/12/28 17:55:35,32.4,21.8,4.5812,2022/12/28 19:35:05,32.1,20.7,4.582,0.027,
9849773,4.5519,2022/12/28 17:56:38,32.4,21.8,4.5515,2022/12/28 19:35:51,32.1,20.7,4.552,0.022,
QC,5.0000,2022/12/28 17:56:57,27.4,23.7,5.0000,2022/12/28 19:36:10,39.3,21,5.000,5.000,
,,,,,,,,,,,
