Order Number,PE_F1,Date_1,HR,T,PE_F2,Date,HR,T,GRAV_PM10_MON,GRAV_PM10_DP,end
9856624,4.5161,2023/01/09 09:31:46,33.3,23.4,4.5159,2023/01/09 11:15:04,32.1,21.9,4.516,0.032,
9856625,4.5203,2023/01/09 09:32:28,33.3,23.4,4.5198,2023/01/09 11:16:18,32.1,21.9,4.520,0.049,
9856637,4.4687,2023/01/09 09:33:07,33.3,23.4,4.4679,2023/01/09 11:17:27,32.1,21.9,4.468,0.023,
9856638,4.4510,2023/01/09 09:33:51,33.3,23.4,4.4496,2023/01/09 11:18:26,32.1,21.9,4.450,0.023,
9856641,4.4482,2023/01/09 09:34:46,33.3,23.4,4.4491,2023/01/09 11:26:05,32.1,21.9,4.449,0.001,
9856327,4.5178,2023/01/09 09:35:29,33.3,23.4,4.5170,2023/01/09 11:26:48,32.1,21.9,4.517,0.073,
9856331,4.4104,2023/01/09 09:36:05,33.3,23.4,4.4108,2023/01/09 11:27:33,32.1,21.9,4.411,0.000,
9856677,4.5769,2023/01/09 09:37:02,33.3,23.4,4.5761,2023/01/09 11:28:08,32.1,21.9,4.577,0.057,
9856680,4.5430,2023/01/09 09:37:42,33.3,23.4,4.5426,2023/01/09 11:28:45,32.1,21.9,4.543,0.000,
9855921,4.4596,2023/01/09 09:38:46,33.3,23.4,4.4585,2023/01/09 11:29:23,32.1,21.9,4.459,0.036,
9699194,4.3620,2023/01/09 09:39:25,33.3,23.4,4.3616,2023/01/09 11:30:18,32.1,21.9,4.362,0.004,
9697374,4.4278,2023/01/09 09:40:36,33.3,23.4,4.4273,2023/01/09 11:31:09,32.1,21.9,4.428,0.064,
9697387,4.4252,2023/01/09 09:41:20,33.3,23.4,4.4247,2023/01/09 11:32:13,32.1,21.9,4.425,0.051,
9697334,4.3942,2023/01/09 09:42:09,33.3,23.4,4.3941,2023/01/09 11:32:51,32.1,21.9,4.394,0.044,
9697321,4.4343,2023/01/09 09:42:57,33.3,23.4,4.4330,2023/01/09 11:33:29,32.1,21.9,4.434,0.044,
9699622,4.5730,2023/01/09 09:43:42,33.3,23.4,4.5721,2023/01/09 11:34:12,32.1,21.9,4.573,0.076,
QC,5.0000,2023/01/09 09:44:32,32.7,23.5,5.0000,2023/01/09 11:34:56,28.8,21.7,5.000,5.000,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
