Order Number,PE_F1,Date_1,HR,T,PE_F2,Date,HR,T,GRAV_PM10_MON,GRAV_PM10_DP,end
QHV-05106,4.6774,2022/12/22 16:01:01,34.4,21.7,4.6761,2022/12/22 17:29:14,30.4,21.3,4.677,0.061,
QHV-05292,4.3680,2022/12/22 16:01:55,34.4,21.7,4.3662,2022/12/22 17:29:16,30.4,21.3,4.367,0.077,
QHV-05293,4.3168,2022/12/22 16:02:14,34.4,21.7,4.3159,2022/12/22 17:30:16,30.4,21.3,4.316,0.052,
QHV-05294,4.3221,2022/12/22 16:03:14,34.4,21.7,4.3209,2022/12/22 17:31:20,30.4,21.3,4.322,0.046,
QHV-05080,4.3281,2022/12/22 16:03:51,34.4,21.7,4.3284,2022/12/22 17:32:26,30.4,21.3,4.328,0.029,
QHV-05266,4.6053,2022/12/22 16:04:19,34.4,21.7,4.6052,2022/12/22 17:33:03,30.4,21.3,4.605,0.032,
QHV-05267,4.5939,2022/12/22 16:05:34,34.4,21.7,4.5943,2022/12/22 17:33:34,30.4,21.3,4.594,0.026,
QHV-05268,4.5726,2022/12/22 16:06:12,34.4,21.7,4.5722,2022/12/22 17:34:07,30.4,21.3,4.572,0.025,
QHV-05119,4.3822,2022/12/22 16:06:52,34.4,21.7,4.3825,2022/12/22 17:34:46,30.4,21.3,4.382,0.094,
QHV-05305,4.3460,2022/12/22 16:07:37,34.4,21.7,4.3453,2022/12/22 17:35:22,30.4,21.3,4.346,0.075,
QHV-05306,4.3379,2022/12/22 16:08:21,34.4,21.7,4.3382,2022/12/22 17:36:07,30.4,21.3,4.338,0.064,
QHV-05307,4.3512,2022/12/22 16:08:57,34.4,21.7,4.3520,2022/12/22 17:37:00,30.4,21.3,4.352,0.045,
QHV-05093,4.6688,2022/12/22 16:09:34,34.4,21.7,4.6697,2022/12/22 17:37:41,30.4,21.3,4.669,0.073,
QHV-05279,4.6298,2022/12/22 16:10:13,34.4,21.7,4.6308,2022/12/22 17:38:43,30.4,21.3,4.630,0.058,
QHV-05280,4.6065,2022/12/22 16:10:53,34.4,21.7,4.6073,2022/12/22 17:39:32,30.4,21.3,4.607,0.051,
QHV-05281,4.6214,2022/12/22 16:11:38,34.4,21.7,4.6220,2022/12/22 17:40:16,30.4,21.3,4.622,0.042,
QC,5.0000,2022/12/22 16:13:32,30.5,21.2,5.0000,2022/12/22 17:40:45,31.8,21.4,5.000,5.000,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
