Order Number,PFMON_AL,PFMON_AS,PEMON_BE,PFMON_CD,PFMON_CA,Date,PFMON_ZN,PFMON_CO,PFMON_CU,PFMON_CR,PFMON_SN,PFMON_FE,PFMON_LI,PFMON_MG,PFMON_MN,PFMON_HG,PFMON_MO,PFMON_NI,PFMON_PB,PFMON_K,PFMON_SE,PFMON_NA,PFMON_V,end
9856681,4.5726,4.5726,4.5726,4.5726,4.5726,2023/01/09 11:38:56,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,
9856682,4.5631,4.5631,4.5631,4.5631,4.5631,2023/01/09 11:39:20,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,4.5631,
9856683,4.5582,4.5582,4.5582,4.5582,4.5582,2023/01/09 11:40:01,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,
9856684,4.5382,4.5382,4.5382,4.5382,4.5382,2023/01/09 11:40:36,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,4.5382,
9856685,4.5534,4.5534,4.5534,4.5534,4.5534,2023/01/09 11:41:14,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,4.5534,
9856686,4.5569,4.5569,4.5569,4.5569,4.5569,2023/01/09 11:41:48,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,4.5569,
9856687,4.5453,4.5453,4.5453,4.5453,4.5453,2023/01/09 11:42:21,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,4.5453,
9856688,4.5359,4.5359,4.5359,4.5359,4.5359,2023/01/09 11:42:47,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,4.5359,
9856689,4.5964,4.5964,4.5964,4.5964,4.5964,2023/01/09 11:43:17,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,4.5964,
9856690,4.5582,4.5582,4.5582,4.5582,4.5582,2023/01/09 11:43:55,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,4.5582,
9856691,4.5465,4.5465,4.5465,4.5465,4.5465,2023/01/09 11:44:25,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,4.5465,
QC,5.0000,5.0000,5.0000,5.0000,5.0000,2023/01/09 11:44:42,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
