Order Number,PFMON_AL,PFMON_AS,PEMON_BE,PFMON_CD,PFMON_CA,Date,PFMON_ZN,PFMON_CO,PFMON_CU,PFMON_CR,PFMON_SN,PFMON_FE,PFMON_LI,PFMON_MG,PFMON_MN,PFMON_HG,PFMON_MO,PFMON_NI,PFMON_PB,PFMON_K,PFMON_SE,PFMON_NA,PFMON_V,end
9856624,4.5160,4.5160,4.5160,4.5160,4.5160,2023/01/09 11:15:04,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,4.5160,
9856625,4.5201,4.5201,4.5201,4.5201,4.5201,2023/01/09 11:16:18,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,4.5201,
9856637,4.4683,4.4683,4.4683,4.4683,4.4683,2023/01/09 11:17:27,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,4.4683,
9856638,4.4503,4.4503,4.4503,4.4503,4.4503,2023/01/09 11:18:26,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,4.4503,
9856641,4.4487,4.4487,4.4487,4.4487,4.4487,2023/01/09 11:26:05,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,4.4487,
9856327,4.5174,4.5174,4.5174,4.5174,4.5174,2023/01/09 11:26:48,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,4.5174,
9856331,4.4106,4.4106,4.4106,4.4106,4.4106,2023/01/09 11:27:33,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,4.4106,
9856677,4.5765,4.5765,4.5765,4.5765,4.5765,2023/01/09 11:28:08,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,4.5765,
9856680,4.5428,4.5428,4.5428,4.5428,4.5428,2023/01/09 11:28:45,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,4.5428,
9855921,4.4591,4.4591,4.4591,4.4591,4.4591,2023/01/09 11:29:23,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,4.4591,
9699194,4.3618,4.3618,4.3618,4.3618,4.3618,2023/01/09 11:30:18,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,4.3618,
9697374,4.4276,4.4276,4.4276,4.4276,4.4276,2023/01/09 11:31:09,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,4.4276,
9697387,4.4250,4.4250,4.4250,4.4250,4.4250,2023/01/09 11:32:13,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,4.4250,
9697334,4.3942,4.3942,4.3942,4.3942,4.3942,2023/01/09 11:32:51,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,4.3942,
9697321,4.4337,4.4337,4.4337,4.4337,4.4337,2023/01/09 11:33:29,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,4.4337,
9699622,4.5726,4.5726,4.5726,4.5726,4.5726,2023/01/09 11:34:12,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,4.5726,
QC,5.0000,5.0000,5.0000,5.0000,5.0000,2023/01/09 11:34:56,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
