Order Number,PE_F1,Date_1,HR,T,PE_F2,Date,HR,T,GRAV_PM10_MON,GRAV_PM10_DP,end
QHV-05219,4.4232,2022/12/28 18:07:03,33,22.4,4.4240,2022/12/28 19:46:56,31.3,21.1,4.424,0.068,
QHV-05220,4.4498,2022/12/28 18:07:43,33,22.4,4.4488,2022/12/28 19:47:21,31.3,21.1,4.449,0.122,
QHV-05245,4.6722,2022/12/28 18:08:29,33,22.4,4.6723,2022/12/28 19:47:46,31.3,21.1,4.672,0.067,
QHV-05246,4.6521,2022/12/28 18:08:48,33,22.4,4.6531,2022/12/28 19:48:11,31.3,21.1,4.653,0.040,
QHV-05206,4.3133,2022/12/28 18:09:43,33,22.4,4.3139,2022/12/28 19:48:36,31.3,21.1,4.314,0.051,
QHV-05207,4.2959,2022/12/28 18:10:32,33,22.4,4.2960,2022/12/28 19:49:01,31.3,21.1,4.296,0.040,
QHV-05193,4.3389,2022/12/28 18:10:55,33,22.4,4.3402,2022/12/28 19:50:46,31.3,21.1,4.340,0.052,
QHV-05194,4.3460,2022/12/28 18:11:22,33,22.4,4.3458,2022/12/28 19:50:55,31.3,21.1,4.346,0.043,
QHV-05232,4.3571,2022/12/28 18:11:39,33,22.4,4.3591,2022/12/28 19:51:04,31.3,21.1,4.358,0.057,
QHV-05233,4.3693,2022/12/28 18:12:21,33,22.4,4.3709,2022/12/28 19:51:13,31.3,21.1,4.370,0.064,
QHV-05258,4.7120,2022/12/28 18:12:58,33,22.4,4.7131,2022/12/28 19:51:22,31.3,21.1,4.713,0.101,
QHV-05259,4.8820,2022/12/28 18:13:15,33,22.4,4.8829,2022/12/28 19:52:45,31.3,21.1,4.882,0.270,
QC,5.0000,2022/12/28 18:14:06,31,22.8,5.0000,2022/12/28 19:56:42,35.9,21.5,5.000,5.000,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
