Order Number,PE_F1,Date_1,HR,T,PE_F2,Date,HR,T,GRAV_PM10_MON,GRAV_PM10_DP,end
90333,4.5437,2022/12/28 17:58:33,29,23.5,4.5439,2022/12/28 19:38:32,39.3,21,4.544,0.010,
90274,4.5004,2022/12/28 17:59:54,29,23.5,4.5009,2022/12/28 19:39:17,39.3,21,4.501,0.028,
9849750,4.5770,2022/12/28 18:01:15,29,23.5,4.5767,2022/12/28 19:40:02,39.3,21,4.577,0.013,
9849751,4.5747,2022/12/28 18:02:36,29,23.5,4.5751,2022/12/28 19:40:43,39.3,21,4.575,0.015,
9849752,4.5652,2022/12/28 18:03:57,29,23.5,4.5648,2022/12/28 19:41:21,39.3,21,4.565,0.014,
9849753,4.5660,2022/12/28 18:05:18,29,23.5,4.5661,2022/12/28 19:41:59,39.3,21,4.566,0.020,
9849754,4.5685,2022/12/28 18:06:39,29,23.5,4.5685,2022/12/28 19:42:37,39.3,21,4.569,0.013,
9849755,4.5662,2022/12/28 18:08:00,29,23.5,4.5660,2022/12/28 19:43:15,39.3,21,4.566,0.012,
9849734,4.5658,2022/12/28 18:09:21,29,23.5,4.5661,2022/12/28 19:43:53,39.3,21,4.566,0.033,
9849735,4.6031,2022/12/28 18:10:42,29,23.5,4.6036,2022/12/28 19:44:31,39.3,21,4.603,0.029,
9849736,4.5837,2022/12/28 18:12:03,29,23.5,4.5847,2022/12/28 19:44:49,39.3,21,4.584,0.033,
9849737,4.5524,2022/12/28 18:13:24,29,23.5,4.5533,2022/12/28 19:45:07,39.3,21,4.553,0.014,
9849738,4.5937,2022/12/28 18:14:45,29,23.5,4.5931,2022/12/28 19:45:25,39.3,21,4.593,0.014,
9849739,4.5841,2022/12/28 18:16:06,29,23.5,4.5815,2022/12/28 19:45:43,39.3,21,4.583,0.018,
9849740,4.5921,2022/12/28 18:17:27,29,23.5,4.5922,2022/12/28 19:46:01,39.3,21,4.592,0.012,
90270,4.5273,2022/12/28 18:18:48,29,23.5,4.5269,2022/12/28 19:46:19,39.3,21,4.527,0.003,
QC,5.0000,2022/12/28 18:20:09,34.2,21.9,5.0000,2022/12/28 19:46:37,31.3,21.1,5.000,5.000,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
